competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"D1 M 92","28784","s-3307","BOIS-COLOMBES SP. 1C","BOIS-COLOMBES SPORT","BOIS-COLOMBES SPORTS HANDBALL","f854b6a6-d12a-4e57-bdba-29c429a0c849","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3312","AS FONTENAY-AUX-ROSES 1B","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES HANDBALL","af9cb688-5bd0-4229-b26c-b1bc0eaa98b6","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3313","USM MALAKOFF 1B","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3318","HBC SURESNES 1B","HANDBALL CLUB SURESNES","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3319","STADE DE VANVES 1C","STADE DE VANVES","STADE DE VANVES HANDBALL","74f44e73-707e-4251-8755-0af57ba46425","CONFIRMER_OU_CORRIGER"
"D1 M 92","28784","s-3320","LEVALLOIS SC 1C","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3199","CSM FINANCES 1B","CSM FINANCES","CLUB SPORTIF DU MINISTERE DES FINANCES","5199c072-7212-45f1-9256-2e177dee8d55","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3201","PARIS UC 1B","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3208","MARTIGUA SCL 1","MARTIGUA SCL","","","A_REMPLIR"
"D2 M 92","28786","s-3209","SCUF 1B","SCUF","","","A_REMPLIR"
"D2 M 92","28786","s-3304","ASV CHATENAY-MALABRY 1C","ASV CHATENAY-MALABRY","ASSOCIATION SPORTIVE VOLTAIRE CHATENAY-MALABRY","a400c3eb-4581-45e1-bbae-edc02ac2862e","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3313","USM MALAKOFF 1C","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3318","HBC SURESNES 1C","HANDBALL CLUB SURESNES","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3319","STADE DE VANVES 1D","STADE DE VANVES","STADE DE VANVES HANDBALL","74f44e73-707e-4251-8755-0af57ba46425","CONFIRMER_OU_CORRIGER"
"D2 M 92","28786","s-3320","LEVALLOIS SC 1D","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3199","CSM FINANCES 1C","CSM FINANCES","CLUB SPORTIF DU MINISTERE DES FINANCES","5199c072-7212-45f1-9256-2e177dee8d55","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3201","PARIS UC 1D","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3207","STADE FRANCAIS 1B","STADE FRANCAIS","STADE FRANCAIS HANDBALL","7c67ca25-6964-495c-8b67-a7867e9f5c31","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3208","MARTIGUA SCL 1B","MARTIGUA SCL","","","A_REMPLIR"
"D3 M 92","28787","s-3211","PARIS SC 1D","PARIS SPORTING CLUB","PARIS UNIVERSITE CLUB","def475ad-604b-4d47-a702-b44b26fb82a6","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3214","PARIS ST-GERMAIN HB 1E","PARIS ST-GERMAIN HANDBALL","ST-GERMAIN HANDBALL","b821ae3f-43f2-41d9-b334-1314756e67d1","CONFIRMER_OU_CORRIGER"
"D3 M 92","28787","s-3303","ES NANTERRE 1C","ES NANTERRE","ENTENTE SPORTIVE DE NANTERRE","b7c98734-c643-4fab-b794-51d1c7787683","CONFIRMER_OU_CORRIGER"
