competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"Nationale 1 M France","28229","s-3302","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"Nationale 1 M France","28229","s-3598","ROC AVEYRON HANDBALL","ROC AVEYRON HANDBALL","Aveyron (12)","2c5c3eb4-3ab8-46ed-ba12-cfdb0e31220b","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3107","US LAGNY MONTEVRAIN HANDBALL","UNION SPORTIVE LAGNY MONTEVRAIN HANDBALL","UNION SPORTIVE SAINT-HILAIRE HANDBALL","3a10c3a7-3dec-4dcf-afd6-066f247ea1b7","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3173","REVEIL DE NOGENT HANDBALL","REVEIL DE NOGENT HANDBALL","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3182","MAISONS-ALFORT / SAINT-MAUR (N2)","MAISONS-ALFORT / SAINT-MAUR","ASA MAISONS ALFORT HB","0fa36b1c-9961-4dcf-9d67-cee93d25e3e7","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3320","LEVALLOIS SC","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"Nationale 2 M France","28230","s-3334","HANDBALL AGGLOMERATION ROISSY PAYS-DE-FRANCE 95","HANDBALL AGGLOMERATION ROISSY PAYS-DE-FRANCE","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3351","ELITE AXONAISE HB (N2)","ELITE AXONAISE HANDBALL","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3388","ABBEVILLE E A L","ABBEVILLE E A","","","A_REMPLIR"
"Nationale 2 M France","28230","s-3433","ENTENTE TERRITOIRE CHARENTE HANDBALL","ENTENTE TERRITOIRE CHARENTE HANDBALL","ENTENTE SPORTIVE DU PERRAY HANDBALL","cd98240b-9151-4390-b047-edfefd86a462","CONFIRMER_OU_CORRIGER"
"Nationale 3 M France","28559","s-3134","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"Nationale 3 M France","28559","s-3148","ENTENTE LE BOURGET / AULNAY","ENTENTE LE BOURGET / AULNAY","","","A_REMPLIR"
"Nationale 3 M France","28559","s-3237","PLAISIR - LES CLAYES HANDBALL","PLAISIR - LES CLAYES HANDBALL","","","A_REMPLIR"
"Nationale 3 M France","28559","s-3465","ENTENTE NIORT AGGLO (N3)","ENTENTE NIORT AGGLO","","","A_REMPLIR"
"Nationale 3 M France","28559","s-3572","SUD ACTION MARSEILLE","SUD ACTION MARSEILLE","","","A_REMPLIR"
"Nationale 1 F France","28626","s-3134","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB SERRIS VAL D'EUROPE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"Nationale 1 F France","28626","s-3321","ISSY-PARIS HAND","ISSY-PARIS HAND","","","A_REMPLIR"
"Nationale 1 F France","28626","s-3555","UNION PAYS D'AIX BOUC HANDBALL","UNION PAYS D'AIX BOUC HANDBALL","AS L'UNION HANDBALL","8df27435-2f4d-4740-a2f2-8735622fc0c9","CONFIRMER_OU_CORRIGER"
"Nationale 2 F France","28560","s-3355","SAINT QUENTIN HANDBALL","SAINT QUENTIN HANDBALL","AVENIR FEUQUIERES SAINT BLIMONT VIMEU HANDBALL","df8a798d-20f9-4b8f-aea9-2af627ebe837","CONFIRMER_OU_CORRIGER"
"Nationale 2 F France","28560","s-3514","GAP / CHAMPSAUR (N2)","GAP / CHAMPSAUR","HANDBALL CLUB CHAMPSAUR VALGAUDEMAR","dda38f97-5913-41eb-ac9c-8543d290a9b8","CONFIRMER_OU_CORRIGER"
"Nationale 2 F France","28560","s-3547","EYGUIERES/ ISTRES HB (N2)","EYGUIERES/ ISTRES HANDBALL","","","A_REMPLIR"
"Nationale 2 F France","28560","s-3578","MAZAN / SORGUES HB (N2)","MAZAN / SORGUES HANDBALL","","","A_REMPLIR"
"R1 M Île-de-France","28402","s-3139","AS BONDY","ASSOCIATION SPORTIVE BONDY","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"R1 M Île-de-France","28402","s-3172","ENT. MAISONS-ALFORT / ST-MAUR 94","ENTENTE MAISONS-ALFORT / ST-MAUR","","","A_REMPLIR"
"R1 M Île-de-France","28402","s-3184","ES SUCY","ES SUCY","ES SUCY HANDBALL","887cc46f-75c9-40e4-a37a-31d8e98da8f8","CONFIRMER_OU_CORRIGER"
"R1 M Île-de-France","28402","s-3197","JOINVILLE HBA","JOINVILLE HANDBALL","JOINVILLE HANDBALL ASSOCIATION","0586321b-5f3d-4bf7-b709-46d38de27a1a","CONFIRMER_OU_CORRIGER"
"R1 M Île-de-France","28402","s-3304","ASV CHATENAY-MALABRY","ASV CHATENAY-MALABRY","ASSOCIATION SPORTIVE VOLTAIRE CHATENAY-MALABRY","a400c3eb-4581-45e1-bbae-edc02ac2862e","CONFIRMER_OU_CORRIGER"
"R1 M Île-de-France","28402","s-3307","BOIS-COLOMBES SP.","BOIS-COLOMBES SPORT","BOIS-COLOMBES SPORTS HANDBALL","f854b6a6-d12a-4e57-bdba-29c429a0c849","CONFIRMER_OU_CORRIGER"
"R1 M Île-de-France","28402","s-3313","USM MALAKOFF","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3103","AS CHELLES","ASSOCIATION SPORTIVE CHELLES","AS CHELLES HANDBALL","8a5e0e90-a2fb-4c08-8fb2-bf7857744e83","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3140","HBC GAGNY","HANDBALL CLUB GAGNY","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3141","HBC LIVRY-GARGAN 1B","HANDBALL CLUB LIVRY-GARGAN","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3145","ENT. AULNAY / LE BOURGET 1B","ENTENTE AULNAY / LE BOURGET","","","A_REMPLIR"
"R2 M Île-de-France","28404","s-3171","AS SAINT-MANDE 1B","ASSOCIATION SPORTIVE SAINT-MANDE","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3181","CA L'HAY-LES-ROSES","CLUB ATHLETIQUE L'HAY-LES-ROSES","","","A_REMPLIR"
"R2 M Île-de-France","28404","s-3199","CSM FINANCES","CSM FINANCES","CLUB SPORTIF DU MINISTERE DES FINANCES","5199c072-7212-45f1-9256-2e177dee8d55","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3227","LE CHESNAY YHB 1B","LE CHESNAY YHB","LE CHESNAY YVELINES HANDBALL","34bcfc51-71cc-4765-a9a8-80f44aff410f","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3234","USC MAISONS-LAFFITTE","USC MAISONS-LAFFITTE","UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB","738fb764-84d0-4ca9-b9e4-08e5703a04cd","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3279","SAVIGNY HB 91 1B","SAVIGNY HANDBALL","SAVIGNY HB 91","4cf36ad8-5a88-436d-ace7-3aa45aae6d87","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3303","ES COLOMBIENNE","ES COLOMBIENNE","ETOILE SPORTIVE COLOMBIENNE HANDBALL","2909a82a-131a-4e50-8dce-8b84b9d96c85","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3316","CSM PUTEAUX","CSM PUTEAUX","CLUB SPORTIF MUNICIPAL DE PUTEAUX HANDBALL","8cd1092d-29bf-444d-ba20-e23905ed87c1","CONFIRMER_OU_CORRIGER"
"R2 M Île-de-France","28404","s-3319","STADE DE VANVES 1B","STADE DE VANVES","STADE DE VANVES HANDBALL","74f44e73-707e-4251-8755-0af57ba46425","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3102","LE MEE SP.","LE MEE SPORT","LE MEE SPORTS HANDBALL","48940f47-095d-41d6-b176-6096f434fc1c","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3104","CLAYE-SOUILLY SHB","CLAYE-SOUILLY SPORT HANDBALL","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3107","US LAGNY-MONTEVRAIN 1B","UNION SPORTIVE LAGNY-MONTEVRAIN","UNION SPORTIVE DE BAIN","1509606e-cfb7-41cd-a5b4-0bd25b7c475c","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3108","CS MEAUX","CS MEAUX","CS MEAUX HANDBALL","a6fc7d49-f390-4b12-ab52-7fb4063b8226","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3115","TORCY HB MLV 1B","TORCY HANDBALL MLV","TORCY HANDBALL MARNE-LA-VALLEE","0e5ea4bf-eb34-487c-8202-b582c7b82938","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3116","US VAIRES EC","UNION SPORTIVE VAIRES ENTENTE CLUB","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3134","HBC SERRIS VE 1B","HANDBALL CLUB SERRIS VE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3139","AS BONDY 1B","ASSOCIATION SPORTIVE BONDY","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3144","CM AUBERVILLIERS","CM AUBERVILLIERS","CLUB MUNICIPAL D'AUBERVILLIERS","c65e3092-c29c-43c0-aebe-880e058929b6","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3146","BLANC-MESNIL SP.","BLANC-MESNIL SPORT","BLANC-MESNIL SPORT HANDBALL","71389ca0-56ca-466e-88e4-2be11a24fbf3","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3152","NEUILLY-PLAISANCE SP.","NEUILLY-PLAISANCE SPORT","NEUILLY-PLAISANCE SPORTS","0a066b66-5eab-4b16-8e68-9ff8aea8d304","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3155","SO ROSNY-SOUS-BOIS","SO ROSNY-SOUS-BOIS","STADE OLYMPIQUE ROSNY-SOUS-BOIS","89608385-64fd-46d7-8a07-a94b8e1904ed","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3170","CSA KREMLIN-BICETRE 1B","CSA KREMLIN-BICETRE","CSA KREMLIN-BICETRE","ec546c19-85be-4f68-9d4b-12733bbf6e8e","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3173","ENT. NOGENT / LE PERREUX","ENTENTE NOGENT / LE PERREUX","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3201","PARIS UC","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3209","SCUF","SCUF","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3211","PARIS SC 1B","PARIS SPORTING CLUB","PARIS UNIVERSITE CLUB","def475ad-604b-4d47-a702-b44b26fb82a6","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3214","PARIS ST-GERMAIN HB 1C","PARIS ST-GERMAIN HANDBALL","ST-GERMAIN HANDBALL","b821ae3f-43f2-41d9-b334-1314756e67d1","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3238","AS POISSY","ASSOCIATION SPORTIVE POISSY","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3260","ST-MICHEL SP. 1B","ST-MICHEL SPORT","SAINT-MICHEL SPORTS HANDBALL","b2b01871-796a-4fc5-9c7e-83a4871a1897","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3276","US PALAISEAU 1B","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3302","AC BOULOGNE-BILLANCOURT 1B","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3307","BOIS-COLOMBES SP. 1B","BOIS-COLOMBES SPORT","BOIS-COLOMBES SPORTS HANDBALL","f854b6a6-d12a-4e57-bdba-29c429a0c849","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3312","AS FONTENAY-AUX-ROSES","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES","ASSOCIATION SPORTIVE FONTENAY-AUX-ROSES HANDBALL","af9cb688-5bd0-4229-b26c-b1bc0eaa98b6","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3314","AS MEUDON","ASSOCIATION SPORTIVE MEUDON","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3316","CSM PUTEAUX 1B","CSM PUTEAUX","CLUB SPORTIF MUNICIPAL DE PUTEAUX HANDBALL","8cd1092d-29bf-444d-ba20-e23905ed87c1","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3318","HBC SURESNES","HANDBALL CLUB SURESNES","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3320","LEVALLOIS SC 1B","LEVALLOIS SPORTING CLUB","LEVALLOIS SPORTING CLUB HANDBALL","2511ea35-85cd-4a76-9685-b0c8e4a01e88","CONFIRMER_OU_CORRIGER"
"R3 M Île-de-France","28406","s-3323","COM ARGENTEUIL","COMITE OMNISPORTS ARGENTEUIL","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3334","HB AGGLO. ROISSY PAYS-DE-FRANCE 95 1B","HANDBALL AGGLO. ROISSY PAYS-DE-FRANCE","","","A_REMPLIR"
"R3 M Île-de-France","28406","s-3341","US EZANVILLE / ECOUEN","UNION SPORTIVE EZANVILLE / ECOUEN","UNION SPORTIVE DE BAIN","1509606e-cfb7-41cd-a5b4-0bd25b7c475c","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3147","AC BOBIGNY","ATHLETIC CLUB BOBIGNY","ATHLETIC CLUB DE BOBIGNY","870a4b39-3838-42f4-af96-fefcfccfbbfa","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3184","ES SUCY","ES SUCY","ES SUCY HANDBALL","887cc46f-75c9-40e4-a37a-31d8e98da8f8","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3199","CSM FINANCES","CSM FINANCES","CLUB SPORTIF DU MINISTERE DES FINANCES","5199c072-7212-45f1-9256-2e177dee8d55","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3201","PARIS UC","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3236","ENT. ST-QUENTIN-EN-YVELINES HB","ENTENTE ST-QUENTIN-EN-YVELINES HANDBALL","ENTENTE SPORTIVE DU PERRAY HANDBALL","cd98240b-9151-4390-b047-edfefd86a462","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3245","HB BOUCLE DE SEINE 78","HANDBALL BOUCLE DE SEINE","HANDBALL BOUCLE DE SEINE 78","dffe11dd-216d-4e89-b633-ffc700f1050a","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3276","US PALAISEAU 1B","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
"R1 F Île-de-France","28398","s-3313","USM MALAKOFF","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3111","ENT. MONTEREAU / NANGIS 77","ENTENTE MONTEREAU / NANGIS","","","A_REMPLIR"
"R2 F Île-de-France","28403","s-3134","HBC SERRIS VE 1B","HANDBALL CLUB SERRIS VE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3140","HBC GAGNY 1B","HANDBALL CLUB GAGNY","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3146","ENT. BLANC-MESNIL / BONDY","ENTENTE BLANC-MESNIL / BONDY","","","A_REMPLIR"
"R2 F Île-de-France","28403","s-3169","US IVRY","UNION SPORTIVE IVRY","UNION SPORTIVE IVRY HANDBALL","693051f6-9591-49ba-a131-9ba3d0ee94c3","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3172","STELLA ST-MAUR HB 1C","STELLA ST-MAUR HANDBALL","STELLA SAINT-MAUR HANDBALL","b80c8249-2cf9-49d5-981a-3606e14e8b49","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3180","US FONTENAYSIENNE","UNION SPORTIVE FONTENAYSIENNE","UNION SPORTIVE FONTENAYSIENNE HANDBALL","eb4d29b8-b42d-41ed-b302-87c3bab5a316","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3187","VILLIERS EC","VILLIERS ENTENTE CLUB","VILLIERS ETUDIANTS CLUB HANDBALL","045b38e5-a8f6-4e7e-ae7e-12ed2fcbe778","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3211","PARIS SC 1B","PARIS SPORTING CLUB","PARIS UNIVERSITE CLUB","def475ad-604b-4d47-a702-b44b26fb82a6","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3270","SCA 2000 EVRY 1B","SCA 2000 EVRY","SCA 2000 EVRY","f8671ced-b4b1-483a-ba32-43344bbb24ff","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3276","US PALAISEAU 1C","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3303","ES COLOMBIENNE 1B","ES COLOMBIENNE","ETOILE SPORTIVE COLOMBIENNE HANDBALL","2909a82a-131a-4e50-8dce-8b84b9d96c85","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3304","ENT. VALLEE SUD 92","ENTENTE VALLEE SUD","ENTENTE ALENCON ST GERMAIN","17395deb-4ff7-4e7d-ba4c-0f0e01db3abc","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3307","BOIS-COLOMBES SP.","BOIS-COLOMBES SPORT","BOIS-COLOMBES SPORTS HANDBALL","f854b6a6-d12a-4e57-bdba-29c429a0c849","CONFIRMER_OU_CORRIGER"
"R2 F Île-de-France","28403","s-3321","ISSY-PARIS HAND 1C","ISSY-PARIS HAND","","","A_REMPLIR"
"R2 F Île-de-France","28403","s-3334","HB AGGLO. ROISSY PAYS-DE-FRANCE 95","HANDBALL AGGLO. ROISSY PAYS-DE-FRANCE","","","A_REMPLIR"
"R3 F Île-de-France","28405","s-3104","CLAYE-SOUILLY SHB","CLAYE-SOUILLY SPORT HANDBALL","","","A_REMPLIR"
"R3 F Île-de-France","28405","s-3127","HBC NOISIEL","HANDBALL CLUB NOISIEL","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3144","CM AUBERVILLIERS 1B","CM AUBERVILLIERS","CLUB MUNICIPAL D'AUBERVILLIERS","c65e3092-c29c-43c0-aebe-880e058929b6","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3167","US ALFORTVILLE 1B","UNION SPORTIVE ALFORTVILLE","UNION SPORTIVE ALFORTVILLE HANDBALL","cecd30be-0b69-4ff8-8560-dd056c54cfbd","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3184","ES SUCY 1B","ES SUCY","ES SUCY HANDBALL","887cc46f-75c9-40e4-a37a-31d8e98da8f8","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3189","ES VITRY","ES VITRY","ENTENTE SPORTIVE VITRY","71e50c51-42e9-4cd0-97d6-d32530862bad","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3201","PARIS UC 1B","PARIS UC","Paris (75)","40a2cd64-fa4f-4bf7-ada1-bc51061db6f1","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3221","HBC LES LIONNES DE LA MAULDRE","HANDBALL CLUB LES LIONNES DE LA MAULDRE","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3239","ENT. SUD YVELINES HB","ENTENTE SUD YVELINES HANDBALL","ENTENTE SPORTIVE DU PERRAY HANDBALL","cd98240b-9151-4390-b047-edfefd86a462","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3302","AC BOULOGNE-BILLANCOURT","ATHLETIC CLUB BOULOGNE-BILLANCOURT","ATHLETIC CLUB LA CIOTAT","aa53f308-dc4c-499b-a23b-cada58847bd5","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3313","USM MALAKOFF 1B","USM MALAKOFF","UNION SPORTIVE MUNICIPALE DE MALAKOFF","76339795-72eb-45ec-b29a-3d57b291bef8","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3319","STADE DE VANVES","STADE DE VANVES","STADE DE VANVES HANDBALL","74f44e73-707e-4251-8755-0af57ba46425","CONFIRMER_OU_CORRIGER"
"R3 F Île-de-France","28405","s-3325","ENT. EAUBONNE / USDEM","ENTENTE EAUBONNE / USDEM","","","A_REMPLIR"
"D1 M 94","28531","s-3168","US CRETEIL HB 3","UNION SPORTIVE CRETEIL HANDBALL","UNION SPORTIVE SAINT-HILAIRE HANDBALL","3a10c3a7-3dec-4dcf-afd6-066f247ea1b7","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3169","ENT. NOGENT / LE PERREUX (FG)","ENTENTE NOGENT / LE PERREUX","","","A_REMPLIR"
"D1 M 94","28531","s-3171","AS SAINT-MANDE HB 3","ASSOCIATION SPORTIVE SAINT-MANDE HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3173","ENT. NOGENT / LE PERREUX (FG)","ENTENTE NOGENT / LE PERREUX","","","A_REMPLIR"
"D1 M 94","28531","s-3174","US ORMESSON","UNION SPORTIVE ORMESSON","UNION SPORTIVE DE BAIN","1509606e-cfb7-41cd-a5b4-0bd25b7c475c","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3175","CA BOISSY HB","CLUB ATHLETIQUE BOISSY HANDBALL","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3179","HBC CHOISY-LE-ROI","HANDBALL CLUB CHOISY-LE-ROI","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3182","ASA MAISONS ALFORT HB 3","ASA MAISONS ALFORT HANDBALL","ASA MAISONS ALFORT HB","0fa36b1c-9961-4dcf-9d67-cee93d25e3e7","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3185","CS VALENTON","CS VALENTON","CLUB SPORTIF DE VALENTON","cee649e2-7f3d-4257-a960-bab7d53ad77c","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3189","ES VITRY","ES VITRY","ENTENTE SPORTIVE VITRY","71e50c51-42e9-4cd0-97d6-d32530862bad","CONFIRMER_OU_CORRIGER"
"D1 M 94","28531","s-3193","RSC CHAMPIGNY","RSC CHAMPIGNY","RED STAR CLUB DE CHAMPIGNY","d8ae89de-c9eb-4969-b110-1b79a694f3be","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3170","CSA KREMLIN-BICETRE 3","CSA KREMLIN-BICETRE","CSA KREMLIN-BICETRE","ec546c19-85be-4f68-9d4b-12733bbf6e8e","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3171","AS SAINT-MANDE HB 4","ASSOCIATION SPORTIVE SAINT-MANDE HANDBALL","ASSOCIATION SPORTIVE AVORD HANDBALL","ac6bd782-e539-4646-b0e6-7ff1a54b79ef","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3173","REVEIL DE NOGENT HB 4","REVEIL DE NOGENT HANDBALL","","","A_REMPLIR"
"D2 M 94","28532","s-3180","US FONTENAY HB","UNION SPORTIVE FONTENAY HANDBALL","UNION SPORTIVE SAINT-HILAIRE HANDBALL","3a10c3a7-3dec-4dcf-afd6-066f247ea1b7","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3181","CA L'HAY-LES-ROSES HB 2","CLUB ATHLETIQUE L'HAY-LES-ROSES HANDBALL","HANDBALL CLUB CONCHOIS","384874fb-3e5f-4176-a3af-ca8b05a299c8","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3187","VILLIERS EC HB 2","VILLIERS ENTENTE CLUB HANDBALL","VILLIERS ETUDIANTS CLUB HANDBALL","045b38e5-a8f6-4e7e-ae7e-12ed2fcbe778","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3195","LA CAUDACIENNE","LA CAUDACIENNE","ES CAUDACIENNE","2774a49e-485a-4024-9599-af27f4709f1a","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3197","JOINVILLE HB AS 2","JOINVILLE HANDBALL ASSOCIATION SPORTIVE","JOINVILLE HANDBALL ASSOCIATION","0586321b-5f3d-4bf7-b709-46d38de27a1a","CONFIRMER_OU_CORRIGER"
"D2 M 94","28532","s-3198","HBC ARCUEIL 2","HANDBALL CLUB ARCUEIL","HANDBALL CLUB ARCUEILLAIS","82a59b1a-52d2-4556-bae0-8c65b57ce5fe","CONFIRMER_OU_CORRIGER"
