competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
U18 Masculins 2026 2027,32522,s-2920,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
F110 U15f Brassage Niv Haut Et Prepa Honneur,32438,s-1695,HBC TALANT,HANDBALL CLUB TALANT,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
16 Ans Excellence Feminine Bretagne,30524,s-1826,HERMINE KERNIC 2,HERMINE KERNIC,HERMINE KERNIC HB,56734f2a-5d1e-4173-9dd0-0cc2880a927c,CONFIRMER_OU_CORRIGER,56734f2a-5d1e-4173-9dd0-0cc2880a927c
Proligue 2026 27,32243,s-3169,IVRY UNION SPORTIVE,IVRY UNION SPORTIVE,UNION SPORTIVE IVRY HANDBALL,693051f6-9591-49ba-a131-9ba3d0ee94c3,CONFIRMER_OU_CORRIGER,693051f6-9591-49ba-a131-9ba3d0ee94c3
Ligue Butagaz Energie 2026 2027,30618,s-1720,JDA BOURGOGNE DIJON HANDBALL,JDA BOURGOGNE DIJON HANDBALL,JDA DIJON BOURGOGNE HANDBALL,ac99d636-716e-4eaf-ad8a-8a788aa66112,CONFIRMER_OU_CORRIGER,ac99d636-716e-4eaf-ad8a-8a788aa66112
Nationale 2 Masculine 2026 2027,32501,s-3320,LEVALLOIS SC,LEVALLOIS SC,,,A_REMPLIR,Le club n'existe pas
Regionale 2 Masculine,32418,s-3320,LEVALLOIS SC 1B,LEVALLOIS SC,,,A_REMPLIR,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-2569,LIMOGES,LIMOGES,CAPO LIMOGES HANDBALL,76717bdb-0b6f-4580-968f-363e071b76e0,CONFIRMER_OU_CORRIGER,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-1434,MAICHE HAUT-DOUBS,MAICHE HAUT-DOUBS,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-1764,MAISONS-ALFORT / SAINT-MAUR 94 (N2),MAISONS-ALFORT / SAINT-MAUR,MAISONS-ALFORT / SAINT-MAUR (N2),bdf383a5-7480-413a-a199-b7fc273fff85,CONFIRMER_OU_CORRIGER,Entente
Nationale 2 Masculine 2026 2027,32501,s-3182,MAISONS-ALFORT / SAINT-MAUR 94 (N2),MAISONS-ALFORT / SAINT-MAUR,MAISONS-ALFORT / SAINT-MAUR (N2),bdf383a5-7480-413a-a199-b7fc273fff85,CONFIRMER_OU_CORRIGER,Entente
15 Ans F 1ere Division,32504,s-2518,MENDE GEVAUDAN CHB,MENDE GEVAUDAN CHB,MENDE GEVAUDAN CLUB HANDBALL,c0e4c8db-f1ec-4542-be94-dc427ab0ee30,CONFIRMER_OU_CORRIGER,c0e4c8db-f1ec-4542-be94-dc427ab0ee30
Ligue Butagaz Energie 2026 2027,30618,s-2662,METZ HANDBALL,METZ HANDBALL,MOULINS LES METZ HANDBALL,1c236231-95fd-4195-8bd4-affa13bf1ce0,CONFIRMER_OU_CORRIGER,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-3140,METZ HANDBALL,METZ HANDBALL,MOULINS LES METZ HANDBALL,1c236231-95fd-4195-8bd4-affa13bf1ce0,CONFIRMER_OU_CORRIGER,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-2662,METZ HANDBALL,METZ HANDBALL,MOULINS LES METZ HANDBALL,1c236231-95fd-4195-8bd4-affa13bf1ce0,CONFIRMER_OU_CORRIGER,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-3550,MONTELIMAR AUBENAS TRICASTIN,MONTELIMAR AUBENAS TRICASTIN,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-3578,MONTELIMAR AUBENAS TRICASTIN,MONTELIMAR AUBENAS TRICASTIN,,,A_REMPLIR,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-1966,MONTPELLIER,MONTPELLIER,MONTPELLIER CHAMBERTE HANDBALL,54bb7d33-f903-41b9-b203-c2eff5187330,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-2490,MONTPELLIER,MONTPELLIER,MONTPELLIER CHAMBERTE HANDBALL,54bb7d33-f903-41b9-b203-c2eff5187330,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-2576,NANCY METROPOLE HANDBALL,NANCY METROPOLE HANDBALL,NANCY HANDBALL,e946162d-ae20-4565-a586-4579a664ff8a,CONFIRMER_OU_CORRIGER,e946162d-ae20-4565-a586-4579a664ff8a
U18 Masculins 2026 2027,32522,s-2576,NANCY METROPOLE HANDBALL,NANCY METROPOLE HANDBALL,NANCY HANDBALL,e946162d-ae20-4565-a586-4579a664ff8a,CONFIRMER_OU_CORRIGER,e946162d-ae20-4565-a586-4579a664ff8a
U18 Masculins 2026 2027,32522,s-2662,NANCY METROPOLE HANDBALL,NANCY METROPOLE HANDBALL,NANCY HANDBALL,e946162d-ae20-4565-a586-4579a664ff8a,CONFIRMER_OU_CORRIGER,e946162d-ae20-4565-a586-4579a664ff8a
Daikin Starligue 2026 27,32372,s-2456,NIMES USAM GARD,NIMES USAM GARD,USAM NIMES GARD,377df084-bb70-4458-8507-126680a3a818,CONFIRMER_OU_CORRIGER,377df084-bb70-4458-8507-126680a3a818
Ligue Butagaz Energie 2026 2027,30618,s-3321,PARIS 92,PARIS,Paris (75),40a2cd64-fa4f-4bf7-ada1-bc51061db6f1,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-3214,PARIS ST-GERMAIN HB,PARIS ST-GERMAIN HANDBALL,PARIS SAINT-GERMAIN HANDBALL,15dce4e0-7b17-48e5-b2db-0076d0ff4a3d,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Pre Nationale Feminin,32517,s-3534,PHOENIX 13 COTE BLEUE MARIGNANE (PNF),PHOENIX 13 COTE BLEUE MARIGNANE,,,A_REMPLIR,Le club n'existe pas
Championnat U15 Elite Feminin,32436,s-3547,PHOENIX 13 U15F,PHOENIX 13 U15F,,,A_REMPLIR,Le club n'existe pas
Nationale 3 Masculine 2026 2027,32502,s-2948,RACC NANTES - SM1,RACC NANTES - SM1,RACC NANTES,c474d1b2-9163-44a5-bd26-baa1337acf0a,CONFIRMER_OU_CORRIGER,Le club n'existe pas
D2 Feminine 2026 2027,32240,s-1831,SAINT GREGOIRE RENNES METROPOLE HANDBALL,SAINT GREGOIRE RENNES METROPOLE HANDBALL,,,A_REMPLIR,Le club n'existe pas
D2 Feminine 2026 2027,32240,s-1897,SAINT GREGOIRE RENNES METROPOLE HANDBALL,SAINT GREGOIRE RENNES METROPOLE HANDBALL,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-1586,SANS LIBELLE,SANS LIBELLE,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-1587,SANS LIBELLE,SANS LIBELLE,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-2443,SANS LIBELLE,SANS LIBELLE,,,A_REMPLIR,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-2037,SARAN LOIRET,SARAN LOIRET,SARAN LOIRET HB,c0892aa4-8353-4e85-906b-45c321fca131,CONFIRMER_OU_CORRIGER,c0892aa4-8353-4e85-906b-45c321fca131
Daikin Starligue 2026 27,32372,s-1386,SELESTAT ALSACE,SELESTAT ALSACE,SELESTAT ALSACE HANDBALL,60a666f2-e304-408a-922f-566e20a4597f,CONFIRMER_OU_CORRIGER,60a666f2-e304-408a-922f-566e20a4597f
F 16 2eme Division 77,32428,s-3137,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
F 16 2eme Division 77,32428,s-3114,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
F 16 2eme Division 77,32428,s-3124,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
F 16 2eme Division 77,32428,s-3128,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 1er Division 77,32423,s-3121,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 1er Division 77,32423,s-3109,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 1er Division 77,32423,s-3137,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 1er Division 77,32423,s-3106,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 1er Division 77,32423,s-3129,SENART 2,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 3eme Division 77,32425,s-3137,SENART 3,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
M 16 3eme Division 77,32425,s-3106,SENART 3,SENART,SENART AGGLOMERATION HANDBALL,5333156b-12b4-4f43-9292-7ab481ed8677,CONFIRMER_OU_CORRIGER,5333156b-12b4-4f43-9292-7ab481ed8677
N3f Centre Pays De La Loire 26 27,32339,s-2952,SMOC ST JEAN DE BRAYE 1,SMOC ST JEAN DE BRAYE,SMOC ST JEAN DE BRAYE HANDBALL,613c52db-d51c-41ba-bfb0-e0ab3c3ba258,CONFIRMER_OU_CORRIGER,613c52db-d51c-41ba-bfb0-e0ab3c3ba258
N3f Centre Pays De La Loire 26 27,32339,s-2000,SMOC ST JEAN DE BRAYE 1,SMOC ST JEAN DE BRAYE,SMOC ST JEAN DE BRAYE HANDBALL,613c52db-d51c-41ba-bfb0-e0ab3c3ba258,CONFIRMER_OU_CORRIGER,613c52db-d51c-41ba-bfb0-e0ab3c3ba258
U18 Masculins,32361,s-3250,SQY HB MONTIGNY TRAPPES (2),SQY HANDBALL MONTIGNY TRAPPES,,,A_REMPLIR,Le club n'existe pas
U18 Masculins,32361,s-3236,SQY HB MONTIGNY TRAPPES (2),SQY HANDBALL MONTIGNY TRAPPES,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-2756,ST GENIS LAVAL AL HANDBALL N2 FEMININE,ST GENIS LAVAL AL HANDBALL N2 FEMININE,ST GENIS LAVAL AL HANDBALL,e9f437d7-6a24-4bf2-a05e-01ac80e9e00b,CONFIRMER_OU_CORRIGER,e9f437d7-6a24-4bf2-a05e-01ac80e9e00b
Hmpl Honneur Masculine Regionale,32311,s-2926,ST NAZAIRE 3,ST NAZAIRE,ST NAZAIRE HANDBALL,dcba0ac3-7ce9-45ff-be10-b325da2349b5,CONFIRMER_OU_CORRIGER,dcba0ac3-7ce9-45ff-be10-b325da2349b5
Nationale 2 Masculine 2026 2027,32501,s-2375,ST PRIEST HANDBALL,ST PRIEST HANDBALL,,,A_REMPLIR,Le club n'existe pas
Regionale 3 Feminine,32419,s-3319,STADE DE VANVES,STADE DE VANVES,STADE DE VANVES HANDBALL,74f44e73-707e-4251-8755-0af57ba46425,CONFIRMER_OU_CORRIGER,74f44e73-707e-4251-8755-0af57ba46425
Regionale 3 Feminine,32419,s-3201,STADE DE VANVES,STADE DE VANVES,STADE DE VANVES HANDBALL,74f44e73-707e-4251-8755-0af57ba46425,CONFIRMER_OU_CORRIGER,74f44e73-707e-4251-8755-0af57ba46425
Regionale 3 Masculine,32421,s-3170,STADE DE VANVES 1B,STADE DE VANVES,STADE DE VANVES HANDBALL,74f44e73-707e-4251-8755-0af57ba46425,CONFIRMER_OU_CORRIGER,74f44e73-707e-4251-8755-0af57ba46425
Regionale 3 Masculine,32421,s-3319,STADE DE VANVES 1B,STADE DE VANVES,STADE DE VANVES HANDBALL,74f44e73-707e-4251-8755-0af57ba46425,CONFIRMER_OU_CORRIGER,74f44e73-707e-4251-8755-0af57ba46425
Regionale 3 Masculine,32421,s-3104,STADE DE VANVES 1B,STADE DE VANVES,STADE DE VANVES HANDBALL,74f44e73-707e-4251-8755-0af57ba46425,CONFIRMER_OU_CORRIGER,74f44e73-707e-4251-8755-0af57ba46425
Nationale 3 Masculine 2026 2027,32502,s-1508,STADE PESSACAIS UNION CLUB HANDBALL N3M,STADE PESSACAIS UNION CLUB HANDBALL N3M,,,A_REMPLIR,Le club n'existe pas
Nationale 3 Masculine 2026 2027,32502,s-3619,STADE PESSACAIS UNION CLUB HANDBALL N3M,STADE PESSACAIS UNION CLUB HANDBALL N3M,,,A_REMPLIR,Le club n'existe pas
Ligue Butagaz Energie 2026 2027,30618,s-3987,STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL,STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL,STRASBOURG ACHENHEIM TRUCHTERSHEIM,5709fc02-f042-4db1-ab22-5b4648ff6d08,CONFIRMER_OU_CORRIGER,5709fc02-f042-4db1-ab22-5b4648ff6d08
Regionale 3 Feminine,32419,s-3189,SY HB RAMBOUILLET/ES PERRAY,SY HANDBALL RAMBOUILLET/ES PERRAY,,,A_REMPLIR,Entente
Prenationale Feminine,32490,s-2319,TOURCOING HAND BALL - sf2 - prENAT F,TOURCOING HAND BALL - SF2 - PRENAT,TOURCOING HAND BALL,fc0facea-f488-4283-9dec-dc6f026e899d,CONFIRMER_OU_CORRIGER,fc0facea-f488-4283-9dec-dc6f026e899d
Prenationale Masculine,32479,s-3361,TOURCOING HAND BALL - SG1,TOURCOING HAND BALL - SG1,TOURCOING HAND BALL,fc0facea-f488-4283-9dec-dc6f026e899d,CONFIRMER_OU_CORRIGER,fc0facea-f488-4283-9dec-dc6f026e899d
Daikin Starligue 2026 27,32372,s-3158,TREMBLAY-EN-FRANCE,TREMBLAY-EN-FRANCE,TREMBLAY-EN-FRANCE HANDBALL,d458dcd9-33af-4315-893e-fa6eb52cf776,CONFIRMER_OU_CORRIGER,d458dcd9-33af-4315-893e-fa6eb52cf776
Nationale 2 Feminine 2026 2027,32609,s-2346,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-2348,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-2813,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,Le club n'existe pas
U18 Masculins 2026 2027,32522,s-3361,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE DREUX VERNOUILLET HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-1925,UNION SUD MAYENNE,UNION SUD MAYENNE,,,A_REMPLIR,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-4163,UNION SUD MAYENNE,UNION SUD MAYENNE,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Masculine 2026 2027,32501,s-3168,US CRETEIL,UNION SPORTIVE CRETEIL,US CRETEIL HANDBALL,6cc1180c-cbb5-445b-b16a-cdef41840d32,CONFIRMER_OU_CORRIGER,6cc1180c-cbb5-445b-b16a-cdef41840d32
18 Masculins Barrages Acces Region,32505,s-3180,US CRETEIL HB,UNION SPORTIVE CRETEIL HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,6cc1180c-cbb5-445b-b16a-cdef41840d32
Nationale 1 Masculine 2026 2027,32469,s-2732,US IVRY,UNION SPORTIVE IVRY,UNION SPORTIVE IVRY HANDBALL,693051f6-9591-49ba-a131-9ba3d0ee94c3,CONFIRMER_OU_CORRIGER,693051f6-9591-49ba-a131-9ba3d0ee94c3
Nationale 1 Masculine 2026 2027,32469,s-3169,US IVRY,UNION SPORTIVE IVRY,UNION SPORTIVE IVRY HANDBALL,693051f6-9591-49ba-a131-9ba3d0ee94c3,CONFIRMER_OU_CORRIGER,693051f6-9591-49ba-a131-9ba3d0ee94c3
Nationale 2 Masculine 2026 2027,32501,s-3107,US LAGNY MONTEVRAIN,UNION SPORTIVE LAGNY MONTEVRAIN,US LAGNY MONTEVRAIN HANDBALL,da23b7bb-bd40-4227-ab5b-010d315e2927,CONFIRMER_OU_CORRIGER,da23b7bb-bd40-4227-ab5b-010d315e2927
Regionale 3 Masculine,32421,s-3142,US LAGNY MONTEVRAIN HANDBALL 1B,UNION SPORTIVE LAGNY MONTEVRAIN HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,da23b7bb-bd40-4227-ab5b-010d315e2927
Regionale 3 Masculine,32421,s-3107,US LAGNY MONTEVRAIN HANDBALL 1B,UNION SPORTIVE LAGNY MONTEVRAIN HANDBALL,UNION SPORTIVE SAINT-HILAIRE HANDBALL,3a10c3a7-3dec-4dcf-afd6-066f247ea1b7,CONFIRMER_OU_CORRIGER,da23b7bb-bd40-4227-ab5b-010d315e2927
Prenationale Masculin 26 27,32347,s-2032,US ORLEANS 2,UNION SPORTIVE ORLEANS,UNION SPORTIVE DE BAIN,1509606e-cfb7-41cd-a5b4-0bd25b7c475c,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Regionale 3 Feminine,32419,s-3276,US PALAISEAU 1C,UNION SPORTIVE PALAISEAU,UNION SPORTIVE DE BAIN,1509606e-cfb7-41cd-a5b4-0bd25b7c475c,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Regionale 3 Feminine,32419,s-3114,US PALAISEAU 1C,UNION SPORTIVE PALAISEAU,UNION SPORTIVE DE BAIN,1509606e-cfb7-41cd-a5b4-0bd25b7c475c,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Regionale 2 Masculine,32418,s-3181,USC MAISONS-LAFFITTE,USC MAISONS-LAFFITTE,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
Regionale 2 Masculine,32418,s-3234,USC MAISONS-LAFFITTE,USC MAISONS-LAFFITTE,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
16 Feminins 1ere Division Territoriale,32576,s-3221,USC MAISONS-LAFFITTE HB,USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
16 Feminins 1ere Division Territoriale,32576,s-3234,USC MAISONS-LAFFITTE HB,USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
U13 Masculins,32538,s-3234,USC MAISONS-LAFFITTE HB,USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
U18 Masculins,32361,s-3226,USC MAISONS-LAFFITTE HB,USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
U18 Masculins,32361,s-3234,USC MAISONS-LAFFITTE HB,USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
16 Masculins 3eme Division Territoriale,32580,s-3232,USC MAISONS-LAFFITTE HB (3),USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
16 Masculins 3eme Division Territoriale,32580,s-3234,USC MAISONS-LAFFITTE HB (3),USC MAISONS-LAFFITTE HANDBALL,UNION SPORTIVE ET CULTURELLE MAISONS-LAFFITTE HB,738fb764-84d0-4ca9-b9e4-08e5703a04cd,CONFIRMER_OU_CORRIGER,738fb764-84d0-4ca9-b9e4-08e5703a04cd
N3f Centre Pays De La Loire 26 27,32339,s-2033,USM MONTARGIS,USM MONTARGIS,,,A_REMPLIR,Le club n'existe pas
Honneur Regional Masculin 26 27,32351,s-2053,USM MONTARGIS 2,USM MONTARGIS,,,A_REMPLIR,Le club n'existe pas
Honneur Regional Masculin 26 27,32351,s-2033,USM MONTARGIS 2,USM MONTARGIS,,,A_REMPLIR,Le club n'existe pas
Championnat U18 Masculin,32528,s-2329,VALENCIENNES HANDBALL,VALENCIENNES HANDBALL,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-3170,VALENCIENNES HANDBALL,VALENCIENNES HANDBALL,,,A_REMPLIR,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-3134,VALENCIENNES HANDBALL,VALENCIENNES HANDBALL,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-2609,VILLERS SYNERGIE SUD NANCY HB (U17),VILLERS SYNERGIE SUD NANCY HANDBALL,,,A_REMPLIR,Le club n'existe pas
U17 Feminins 2026 2027,32352,s-3134,VILLERS SYNERGIE SUD NANCY HB (U17),VILLERS SYNERGIE SUD NANCY HANDBALL,,,A_REMPLIR,Le club n'existe pas
