competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
Nationale 2 Masculine 2026 2027,32501,s-3170,ELITE AXONAISE HB,ELITE AXONAISE HANDBALL,ELITE AXONAISE HB (N2),d0f36196-b8ad-41b0-a752-2a27a1ad10c2,CONFIRMER_OU_CORRIGER,d0f36196-b8ad-41b0-a752-2a27a1ad10c2
Nationale 2 Masculine 2026 2027,32501,s-3351,ELITE AXONAISE HB,ELITE AXONAISE HANDBALL,ELITE AXONAISE HB (N2),d0f36196-b8ad-41b0-a752-2a27a1ad10c2,CONFIRMER_OU_CORRIGER,d0f36196-b8ad-41b0-a752-2a27a1ad10c2
Barrage Dpt Accession Rgt U18f,32535,s-3332,ENT USDEM / EAUBONNE U18F,ENT USDEM / EAUBONNE U18F,ENT. EAUBONNE / USDEM,d49c567c-3d0c-4e41-94c4-76ca036307b7,CONFIRMER_OU_CORRIGER,d49c567c-3d0c-4e41-94c4-76ca036307b7
68 06 U17 Edm,30445,s-1481,ENT. CERNAY / WITTELSHEIM U17-2M (D),ENTENTE CERNAY / WITTELSHEIM U17-2M,,,A_REMPLIR,Entente
68 32 Cjds U17m,30458,s-1481,ENT. CERNAY / WITTELSHEIM U17-3,ENTENTE CERNAY / WITTELSHEIM U17-3,,,A_REMPLIR,Entente
U17 Feminins 2026 2027,32352,s-2567,ENTENTE 87 - AS SAINT-JUNIEN ROC (U17),ENTENTE 87 - ASSOCIATION SPORTIVE SAINT-JUNIEN ROC,,,A_REMPLIR,Entente
Championnat U15 Masculin,32529,s-2313,ENTENTE DES 3C U15G - MOINS DE 15 ANS MASCULIN,ENTENTE DES 3C U15G - MOINS DE 15 ANS MASCULIN,,,A_REMPLIR,Entente
Championnat U15 Masculin,32529,s-3361,ENTENTE HERSIN- BETHUNE U15M,ENTENTE HERSIN- BETHUNE U15M,,,A_REMPLIR,Entente
Championnat U15 Masculin,32529,s-3369,ENTENTE HERSIN- BETHUNE U15M,ENTENTE HERSIN- BETHUNE U15M,,,A_REMPLIR,Entente
U18 Masculins 2026 2027,32522,s-2271,ENTENTE LYON METROPOLE (U18),ENTENTE LYON METROPOLE,,,A_REMPLIR,Entente
U18 Masculins 2026 2027,32522,s-2732,ENTENTE LYON METROPOLE (U18),ENTENTE LYON METROPOLE,,,A_REMPLIR,Entente
U18 Masculins 2026 2027,32522,s-3113,ENTENTE PONTAULT COMBAULTSERRISLAGNYMONTEVRAIN77,ENTENTE PONTAULT COMBAULTSERRISLAGNYMONTEVRAIN77,,,A_REMPLIR,Entente
U17 Feminins 2026 2027,32352,s-2879,ENTENTE ROUEN / BIHOREL (U17),ENTENTE ROUEN / BIHOREL,,,A_REMPLIR,Entente
